Time;Iterations;Result;warmUp
0:01:50;2856;1924.8393234672305;false
0:01:51;2881;1921.235294117647;false
0:01:52;2910;1918.8668046928917;false
0:01:53;2935;1916.2773797338791;false
0:01:54;2966;1913.3418832264597;false
0:01:55;2997;1910.3585284280937;false
0:01:56;3028;1908.0003307972213;false
0:01:57;3059;1905.332241153342;false
0:01:58;3094;1903.3797920727745;false
0:01:59;3116;1900.7776349614396;false
0:02:00;3151;1897.9151033386327;false
0:02:01;3178;1895.5545053560177;false
0:02:02;3218;1893.5640224859462;false
0:02:03;3243;1890.8354978354978;false
0:02:04;3271;1889.3069852941176;false
0:02:05;3302;1887.2009714632666;false
0:02:06;3328;1885.4622329220583;false
0:02:07;3359;1883.190518783542;false
0:02:08;3392;1881.3574593796159;false
0:02:09;3421;1879.7963668326986;false
0:02:10;3447;1877.8373038930854;false
0:02:11;3478;1875.8868413475382;false
0:02:12;3510;1873.6957762557079;false
0:02:13;3539;1872.0189533239038;false
0:02:14;3570;1870.1413744740532;false
0:02:15;3600;1868.6885610910103;false
0:02:16;3634;1866.882450331126;false
0:02:17;3658;1865.211433260394;false
0:02:18;3691;1863.81302578019;false
0:02:19;3716;1863.1368903260577;false
0:02:20;3742;1862.3879079721776;false
0:02:21;3775;1862.067427661269;false
0:02:22;3802;1861.3624638062647;false
0:02:23;3828;1860.8721902770517;false
0:02:24;3861;1859.941603944978;false
0:02:25;3894;1859.4856995619687;false
0:02:26;3911;1858.291016124904;false
0:02:27;3946;1857.0847500634356;false
0:02:28;3975;1855.3610271903324;false
0:02:29;4006;1853.9877561219391;false
0:02:30;4035;1853.1521469347233;false
0:02:31;4069;1851.2839566929133;false
0:02:32;4094;1849.9257086999023;false
0:02:33;4123;1848.5519417475728;false
0:02:34;4155;1846.9655670599566;false
0:02:35;4188;1845.465805834529;false
0:02:36;4220;1844.1340450771056;false
0:02:37;4254;1842.6592836946277;false
0:02:38;4285;1841.0049145799205;false
0:02:39;4309;1839.984433085502;false
0:02:40;4343;1838.5383905925755;false
0:02:41;4367;1837.2801832760595;false
0:02:42;4406;1835.7137335152343;false
0:02:43;4437;1834.6173480912582;false
0:02:44;4463;1833.3721661054994;false
0:02:45;4490;1832.6148016049933;false
0:02:46;4520;1831.3444001770695;false
0:02:47;4552;1830.5460946094609;false
0:02:48;4576;1829.9155361050327;false
0:02:49;4609;1828.8666666666666;false
0:02:50;4644;1827.725938713854;false
0:02:51;4669;1826.5765109301328;false
0:02:52;4701;1825.4437340153452;false
0:02:53;4727;1824.4661303979678;false
0:02:54;4760;1823.9111765944012;false
0:02:55;4782;1823.5360954174514;false
0:02:56;4812;1823.133208645054;false
0:02:57;4849;1822.5971074380166;false
0:02:58;4873;1822.0359564413395;false
0:02:59;4902;1821.9413327882257;false
0:03:00;4927;1821.5890717042453;false
0:03:01;4964;1820.931974162293;false
0:03:02;4990;1820.6472478907192;false
0:03:03;5018;1820.240119760479;false
0:03:04;5047;1820.0798252581415;false
0:03:05;5071;1820.0341290195304;false
0:03:06;5104;1819.2905630763194;false
0:03:07;5134;1818.4823414634147;false
0:03:08;5157;1817.6788207913112;false
0:03:09;5189;1816.9585342333655;false
0:03:10;5225;1816.4176414189837;false
0:03:11;5254;1815.883654396338;false
0:03:12;5290;1815.0301478953356;false
0:03:13;5311;1814.0016971525552;false
0:03:14;5336;1813.254358013121;false
0:03:15;5372;1812.2616961789377;false
0:03:16;5403;1811.1647516679022;false
0:03:17;5434;1810.0444075916712;false
0:03:18;5460;1809.3429880843264;false
0:03:19;5490;1808.6351375979589;false
0:03:20;5524;1807.7003263234228;false
0:03:21;5556;1807.0310301280895;false
0:03:22;5579;1806.2905829596411;false
0:03:23;5611;1805.64846538187;false
0:03:24;5651;1804.9143009226402;false
0:03:25;5668;1804.2810734463276;false
0:03:26;5700;1803.5640035118524;false
0:03:27;5730;1802.6358240223465;false
0:03:28;5762;1801.9289560535;false
0:03:29;5791;1801.3450899031811;false
0:03:30;5797;1801.162638121547;false
0:03:31;5797;1801.162638121547;false
0:03:32;5797;1801.162638121547;false
0:03:33;5812;1808.4413436692507;false
0:03:34;5839;1824.51217003771;false
0:03:35;5868;1828.575545702592;false
0:03:36;5907;1828.1610111978282;false
0:03:37;5936;1827.4894443506164;false
0:03:38;5959;1826.466565860215;false
0:03:39;5986;1825.5206349206348;false
0:03:40;6022;1824.3461922181577;false
0:03:41;6049;1823.9043363124792;false
0:03:42;6089;1822.809680605861;false
0:03:43;6113;1822.132612966601;false
0:03:44;6140;1821.3992823356712;false
0:03:45;6167;1820.682784358267;false
0:03:46;6202;1819.588387096774;false
0:03:47;6237;1818.5624598587026;false
0:03:48;6261;1818.2379657764272;false
0:03:49;6289;1817.4767737830098;false
0:03:50;6320;1816.6951219512196;false
0:03:51;6351;1816.1186761229314;false
0:03:52;6375;1815.5219642296831;false
0:03:53;6422;1814.682180228018;false
0:03:54;6441;1814.0559266739165;false
0:03:55;6473;1813.3694710794928;false
0:03:56;6505;1813.0003080240258;false
0:03:57;6525;1812.376091954023;false
0:03:58;6562;1811.7043027158986;false
0:03:59;6587;1811.2885783718104;false
0:04:00;6625;1810.6173268823707;false
0:04:01;6646;1809.9704863725342;false
0:04:02;6676;1809.3857677902622;false
0:04:03;6714;1808.8041467780429;false
0:04:04;6734;1808.2316493313522;false
0:04:05;6766;1807.7556935817806;false
0:04:06;6797;1807.0924481083468;false
0:04:07;6834;1806.5557999706703;false
0:04:08;6867;1805.8751824817518;false
0:04:09;6886;1805.3375944218478;false
0:04:10;6921;1804.6436316322106;false
0:04:11;6947;1803.9317494600432;false
0:04:12;6985;1803.2050730868443;false
0:04:13;7020;1802.1095265259555;false
0:04:14;7042;1801.8360096632086;false
0:04:15;7075;1801.268817204301;false
0:04:16;7102;1800.6627694041415;false
0:04:17;7131;1800.0199298245614;false
0:04:18;7163;1799.3247206703911;false
0:04:19;7197;1798.6250173925143;false
0:04:20;7221;1798.1637345892782;false
